pais,fecha_corte,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad
Afganistán,2020-01-22,0,0,0,0,NaN
Afganistán,2020-01-23,0,0,0,0,NaN
Afganistán,2020-01-24,0,0,0,0,NaN
Afganistán,2020-01-25,0,0,0,0,NaN
Afganistán,2020-01-26,0,0,0,0,NaN
Afganistán,2020-01-27,0,0,0,0,NaN
Afganistán,2020-01-28,0,0,0,0,NaN
Afganistán,2020-01-29,0,0,0,0,NaN
Afganistán,2020-01-30,0,0,0,0,NaN
Afganistán,2020-01-31,0,0,0,0,NaN
Afganistán,2020-02-01,0,0,0,0,NaN
Afganistán,2020-02-02,0,0,0,0,NaN
Afganistán,2020-02-03,0,0,0,0,NaN
Afganistán,2020-02-04,0,0,0,0,NaN
Afganistán,2020-02-05,0,0,0,0,NaN
Afganistán,2020-02-06,0,0,0,0,NaN
Afganistán,2020-02-07,0,0,0,0,NaN
Afganistán,2020-02-08,0,0,0,0,NaN
Afganistán,2020-02-09,0,0,0,0,NaN
Afganistán,2020-02-10,0,0,0,0,NaN
Afganistán,2020-02-11,0,0,0,0,NaN
Afganistán,2020-02-12,0,0,0,0,NaN
Afganistán,2020-02-13,0,0,0,0,NaN
Afganistán,2020-02-14,0,0,0,0,NaN
Afganistán,2020-02-15,0,0,0,0,NaN
Afganistán,2020-02-16,0,0,0,0,NaN
Afganistán,2020-02-17,0,0,0,0,NaN
Afganistán,2020-02-18,0,0,0,0,NaN
Afganistán,2020-02-19,0,0,0,0,NaN
Afganistán,2020-02-20,0,0,0,0,NaN
Afganistán,2020-02-21,0,0,0,0,NaN
Afganistán,2020-02-22,0,0,0,0,NaN
Afganistán,2020-02-23,0,0,0,0,NaN
Afganistán,2020-02-24,1,0,0,1,0
Afganistán,2020-02-25,1,0,0,1,0
Afganistán,2020-02-26,1,0,0,1,0
Afganistán,2020-02-27,1,0,0,1,0
Afganistán,2020-02-28,1,0,0,1,0
Afganistán,2020-02-29,1,0,0,1,0
Afganistán,2020-03-01,1,0,0,1,0
Afganistán,2020-03-02,1,0,0,1,0
Afganistán,2020-03-03,1,0,0,1,0
Afganistán,2020-03-04,1,0,0,1,0
Afganistán,2020-03-05,1,0,0,1,0
Afganistán,2020-03-06,1,0,0,1,0
Afganistán,2020-03-07,1,0,0,1,0
Afganistán,2020-03-08,4,0,0,4,0
Afganistán,2020-03-09,4,0,0,4,0
Afganistán,2020-03-10,5,0,0,5,0
Afganistán,2020-03-11,7,0,0,7,0
Afganistán,2020-03-12,7,0,0,7,0
Afganistán,2020-03-13,7,0,0,7,0
Afganistán,2020-03-14,11,0,0,11,0
Albania,2020-01-22,0,0,0,0,NaN
Albania,2020-01-23,0,0,0,0,NaN
Albania,2020-01-24,0,0,0,0,NaN
Albania,2020-01-25,0,0,0,0,NaN
Albania,2020-01-26,0,0,0,0,NaN
Albania,2020-01-27,0,0,0,0,NaN
Albania,2020-01-28,0,0,0,0,NaN
Albania,2020-01-29,0,0,0,0,NaN
Albania,2020-01-30,0,0,0,0,NaN
Albania,2020-01-31,0,0,0,0,NaN
Albania,2020-02-01,0,0,0,0,NaN
Albania,2020-02-02,0,0,0,0,NaN
Albania,2020-02-03,0,0,0,0,NaN
Albania,2020-02-04,0,0,0,0,NaN
Albania,2020-02-05,0,0,0,0,NaN
Albania,2020-02-06,0,0,0,0,NaN
Albania,2020-02-07,0,0,0,0,NaN
Albania,2020-02-08,0,0,0,0,NaN
Albania,2020-02-09,0,0,0,0,NaN
Albania,2020-02-10,0,0,0,0,NaN
Albania,2020-02-11,0,0,0,0,NaN
Albania,2020-02-12,0,0,0,0,NaN
Albania,2020-02-13,0,0,0,0,NaN
Albania,2020-02-14,0,0,0,0,NaN
Albania,2020-02-15,0,0,0,0,NaN
Albania,2020-02-16,0,0,0,0,NaN
Albania,2020-02-17,0,0,0,0,NaN
Albania,2020-02-18,0,0,0,0,NaN
Albania,2020-02-19,0,0,0,0,NaN
Albania,2020-02-20,0,0,0,0,NaN
Albania,2020-02-21,0,0,0,0,NaN
Albania,2020-02-22,0,0,0,0,NaN
Albania,2020-02-23,0,0,0,0,NaN
Albania,2020-02-24,0,0,0,0,NaN
Albania,2020-02-25,0,0,0,0,NaN
Albania,2020-02-26,0,0,0,0,NaN
Albania,2020-02-27,0,0,0,0,NaN
Albania,2020-02-28,0,0,0,0,NaN
Albania,2020-02-29,0,0,0,0,NaN
Albania,2020-03-01,0,0,0,0,NaN
Albania,2020-03-02,0,0,0,0,NaN
Albania,2020-03-03,0,0,0,0,NaN
Albania,2020-03-04,0,0,0,0,NaN
Albania,2020-03-05,0,0,0,0,NaN
Albania,2020-03-06,0,0,0,0,NaN
Albania,2020-03-07,0,0,0,0,NaN
Albania,2020-03-08,0,0,0,0,NaN
Albania,2020-03-09,2,0,0,2,0
Albania,2020-03-10,10,0,0,10,0
Albania,2020-03-11,12,1,0,11,8.33
Albania,2020-03-12,23,1,0,22,4.35
Albania,2020-03-13,33,1,0,32,3.03
Albania,2020-03-14,38,1,0,37,2.63
Alemania,2020-01-22,0,0,0,0,NaN
Alemania,2020-01-23,0,0,0,0,NaN
Alemania,2020-01-24,0,0,0,0,NaN
Alemania,2020-01-25,0,0,0,0,NaN
Alemania,2020-01-26,0,0,0,0,NaN
Alemania,2020-01-27,1,0,0,1,0
Alemania,2020-01-28,4,0,0,4,0
Alemania,2020-01-29,4,0,0,4,0
Alemania,2020-01-30,4,0,0,4,0
Alemania,2020-01-31,5,0,0,5,0
Alemania,2020-02-01,8,0,0,8,0
Alemania,2020-02-02,10,0,0,10,0
Alemania,2020-02-03,12,0,0,12,0
Alemania,2020-02-04,12,0,0,12,0
Alemania,2020-02-05,12,0,0,12,0
Alemania,2020-02-06,12,0,0,12,0
Alemania,2020-02-07,13,0,0,13,0
Alemania,2020-02-08,13,0,0,13,0
Alemania,2020-02-09,14,0,0,14,0
Alemania,2020-02-10,14,0,0,14,0
Alemania,2020-02-11,16,0,0,16,0
Alemania,2020-02-12,16,0,0,16,0
Alemania,2020-02-13,16,0,1,15,0
Alemania,2020-02-14,16,0,1,15,0
Alemania,2020-02-15,16,0,1,15,0
Alemania,2020-02-16,16,0,1,15,0
Alemania,2020-02-17,16,0,1,15,0
Alemania,2020-02-18,16,0,12,4,0
Alemania,2020-02-19,16,0,12,4,0
Alemania,2020-02-20,16,0,12,4,0
